,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
global_transitivity,0.24218339117952503,0.023712992277097226,-0.008248116871219489,0.10279761580708885,0.26860677791758975,0.07821446290988597,0.05653153469181784,-0.07664770167628887,0.27954642508869804,0.3595258299605512,-0.022895407589638338,0.2059523857155047,0.12757835671454637,0.19545536250176074,-0.11176988584079474,0.05611243988297358,0.15833417834168687,-0.13475952125773893,-0.15235680569732293,-0.19601088344814363,0.579296504313023,-0.09192902593502635,0.25572323284298504,-0.07003810266912229,0.021031170487809055,-0.0033478541706430825,-0.03422332392318647,0.03732818601948114,-0.001488390987975483,0.01027008971421474,0.004685632619777605,0.0006118599008485878,-7.632236518067279e-05,-4.371503159461554e-16
avg_second,0.051670478014434265,-0.20429507980103787,0.23839134046388832,-0.046781826324864696,-0.28826678557650093,-0.22685404629041855,-0.1502398399818982,-0.023224403561161355,0.11037790365479919,0.014960160022506388,0.05580507966103688,0.08628918440413894,-0.3427293998726892,0.44284962998927974,-0.1477882483909691,0.21845069775440396,0.2840646847958757,0.21314468190075117,0.19773297303243526,-0.3551700619763849,-0.07396452645397295,0.026386416156311432,-0.1096858895263371,0.02583263225440257,0.00359754964918887,-0.05401059812668987,0.13429473391071065,0.010709230028065349,0.03806777445109007,0.0032848121520445577,0.0005539672246034869,0.004635018927226464,-3.753857058330645e-05,-2.7755575615628914e-16
second_first_ratio,-0.16048691289390363,-0.07129845837412914,0.2427561389832632,-0.10122782768072244,-0.18090839322738406,-0.12402223558507786,-0.1767471610839499,-0.2541634533918717,-0.3263391468396142,0.1879520212533018,0.1824017748191382,0.21192841521768516,0.17715601611445397,0.3102246550408064,0.1730290966399778,0.1534648353422216,-0.189271351347736,-0.3054440301137363,0.1654498332502615,0.39669727619904727,0.12303518440291766,0.016323573034788215,0.13025432592449254,0.014539888901142287,0.044325084420013865,0.03145754502470565,-0.07099327055845703,-0.003818943925962255,-0.020195274502734537,0.0034949995575396797,-0.006205425903181465,0.0014854937785258864,0.00014040218608776453,8.326672684688674e-17
two_hop_coverage,0.1750203750743039,-0.2271216946983536,-0.005462907810584967,0.1368661372444299,-0.28147645154515527,0.01773268618912311,-0.14835465805624456,0.012452743489438619,0.17320077482069202,-0.12194809246379852,-0.2884535893726745,0.1088528667463285,-0.1103777162926899,-0.0013560710929615828,0.28067132383506804,-0.16170976474440377,-0.13623489540516667,0.007705933941380928,-0.13686400597928572,0.1495563944324732,0.1549085405895089,-0.010867030981241796,0.07371053208164756,-0.04624428845894874,-0.4051879695114813,0.3275202873636281,0.29545725536806305,-0.1965350858948913,0.043427760397238724,-0.010887628948448195,-0.19907614979742647,0.09934361512202905,0.0006772128595228422,5.204170427930421e-15
avg_common_neighbor_local,0.2941858540349689,0.01865188452768464,0.035585695584524984,-0.09142477921771307,0.16976330459595834,-0.002113063119360678,0.038120971154051095,-0.04974195701230595,-0.11010563936284547,-0.043723500317363044,0.12768209356056892,-0.01257750114196837,0.03237986561962247,0.023473383694427002,0.12745748441355376,-0.054884691041394276,0.14134102575528942,-0.11347901869311416,-0.006572349501602526,0.09943701328529846,0.03001627710292372,0.23807980527304382,-0.2811520432845151,-0.39425701326032847,0.07428690377049363,-0.43754364823945524,0.3042969627665243,-0.35486198063909824,0.06462799324576664,-0.1555397933520989,-0.1905813647845018,0.06592010718556492,0.0009170963984838522,6.291842047367879e-15
positive_cn_pair_ratio,0.22609636758036802,-0.19120485418500943,-0.017064123543963982,0.11302267348538945,-0.23404178966709718,0.04596766053707593,-0.12725508633532412,-0.020188862207710927,0.06392043038247772,-0.06978029354158426,-0.17598310914271434,0.19514802185153393,-0.23104150522279532,0.02218875360298249,0.225955655263785,-0.2702342199016948,-0.10295876256173081,-0.03581043770793282,-0.2635883253301517,0.06487123223396321,0.0033208032547582906,0.02573892199469638,-0.04835794267239759,0.0021717222521241857,0.41346302569003884,-0.33974837216102083,-0.311592574363758,0.18825401989859433,-0.026001633320744958,-0.005431147476630349,0.22271891074477837,-0.10952777384115632,-0.0006317796438963619,-5.419276138951545e-15
avg_common_neighbors_all_pairs,0.2885311895251129,0.04239505513971675,-0.020779041361744747,-0.1297579112483013,0.13717042448128786,0.041784402342484,0.009295947270175752,-0.005700123881314139,-0.1907757707278133,-0.15409505685961286,0.04984161411692984,0.023107768784872366,0.05096832384323995,0.02481046465970787,0.1369452530294828,0.02054055179653684,0.026667525194164793,-0.09505576010280718,-0.013983509224197676,-0.0025024351839546574,0.10259108795098806,-0.0019514258846607133,-0.16100836371673807,0.4079630863621795,0.08082892790969033,0.10696818972313887,0.5213746507740792,0.3769816965629237,0.23532301980631365,0.11182785679346323,0.27305318715177357,-0.06524189255617542,-0.000913325190721034,-8.134118378855248e-15
num_components,-0.052552259886824174,-0.01019309022253449,0.2986254483160647,-0.1958382011558383,-0.018412838879093396,0.43892732932546036,0.06407642706913466,-0.006114433207115138,0.07321247937154414,-0.037949653339839226,-0.010852389632336062,0.005862112440367884,-0.06603871625304415,-0.015642680995437502,-0.008921993711286736,-0.000992101219071533,-0.03836457778343804,0.0555657962673498,0.04310272095235316,0.004097827510346372,0.07908966005688381,-0.07649692368789912,-0.11862425212084789,-0.04708418273783303,0.2467798468211662,0.21947826244499746,-0.006602884115503408,-0.1281403254258687,0.03018453176499089,-0.03967732008932107,-0.007296870755414047,0.011693133321905956,-0.7035776552047978,-0.052586781336633
largest_component_size,-0.032101313840544696,-0.031181874300459808,0.32108325893851386,-0.23620252419513585,0.11731371159396994,-0.29285652695724007,-0.09054988122996287,0.15740359149486496,-0.11152365068794118,0.10811230329251023,-0.28915146364028554,0.1313998369651439,0.0776139515722638,-0.23674024865522872,-0.05169295418230343,-0.09228742675373694,0.053710189721580856,0.060615013586661916,-0.06757684797125486,-0.03181695006842419,0.04110166851504979,0.0023279754509767546,-0.007895425459261042,0.0038055188877997637,-0.0140618367864618,-0.020600021984039284,-0.005073535719173227,0.00748269415561837,0.0008461791870687727,-0.0003249520190625197,0.004585963267257578,-0.0030107985463807296,0.03907108336118892,-0.7015542775563567
largest_component_ratio,0.0503135321462206,-0.04236686575527641,-0.31324076438451887,0.16290388858008567,0.05221540941150568,-0.4263348553363009,-0.06828068452443228,-0.011498305627674538,-0.09401828137700294,-0.0020535409810415978,0.046434225632367994,0.035092187301305096,-0.007232999232754481,-0.07326260243009214,-0.005539691301455986,-0.004414241905697782,-0.033238312893755166,0.07276491775867847,0.10575048966209907,-0.013914440459166738,0.15529460544032567,-0.19416132138067646,-0.2224776817928454,-0.08667261771580724,0.5130951230036604,0.44168588231710726,0.0028374599426947505,-0.2535529272794653,0.022259035621805236,-0.061792808822514936,-0.02142337536910668,-0.0026234861806898623,0.0017487636699585075,6.078471059822732e-15
